Temperature_C,Humidity_pct,Soil_Moisture_pct,Rainfall_24h_mm,Forecast_Rainfall_mm,Crop_Type,Growth_Stage,Solar_Radiation_MJ,Evapotranspiration_mm,Irrigation_Action
29.09,60.2,88.91,0.0,3.58,Tomato,Flowering,11.0,3.35,0
24.3,79.29,47.84,0.0,0.84,Soybean,Seedling,6.24,1.23,0
24.6,68.5,19.75,0.0,0.0,Soybean,Flowering,10.19,2.49,1
27.87,35.03,43.61,0.44,0.0,Wheat,Flowering,21.32,8.07,0
23.38,64.44,21.97,3.42,0.0,Corn,Vegetative,16.84,4.25,0
34.75,71.76,92.48,5.52,0.0,Corn,Vegetative,19.46,5.59,0
30.88,55.66,58.79,9.56,0.0,Soybean,Vegetative,17.99,6.0,1
31.11,61.89,62.89,3.89,0.0,Rice,Fruiting,27.45,8.52,0
18.24,50.81,67.12,0.5,0.0,Corn,Seedling,20.09,5.22,0
24.44,39.34,32.27,1.08,0.0,Soybean,Flowering,14.82,5.02,1
22.9,36.74,43.76,0.0,0.0,Rice,Flowering,13.73,4.57,2
17.96,36.94,51.12,0.0,0.0,Wheat,Flowering,17.42,5.09,0
27.52,70.04,89.62,0.0,0.55,Rice,Vegetative,21.07,5.38,0
21.24,22.65,21.27,2.05,0.0,Soybean,Flowering,10.85,3.83,2
29.59,50.0,31.13,1.52,0.0,Corn,Vegetative,17.26,5.95,1
17.51,48.52,44.19,0.0,1.87,Corn,Seedling,15.95,4.16,0
37.03,55.77,29.66,0.0,0.0,Wheat,Seedling,16.58,6.22,1
18.73,32.15,18.39,0.0,0.0,Corn,Flowering,13.48,4.17,1
26.54,66.06,5.44,0.0,0.0,Tomato,Seedling,17.86,4.74,0
30.54,40.9,6.87,0.0,0.0,Corn,Flowering,21.55,8.24,2
21.01,76.99,77.38,0.0,10.08,Rice,Vegetative,16.82,3.22,0
30.97,50.67,44.99,0.0,0.0,Corn,Fruiting,6.08,2.14,0
16.4,58.57,70.73,0.0,0.0,Rice,Fruiting,10.3,2.33,0
35.16,60.06,33.28,0.36,0.0,Tomato,Fruiting,23.62,8.13,1
25.1,63.66,48.72,0.0,0.0,Wheat,Vegetative,9.03,2.4,2
20.83,60.56,84.46,0.79,0.0,Tomato,Seedling,8.71,2.17,0
22.91,53.59,80.82,0.0,0.0,Soybean,Flowering,12.06,3.44,0
30.66,65.15,67.04,0.0,0.63,Rice,Flowering,11.17,3.29,0
20.91,66.99,57.49,0.0,2.79,Wheat,Seedling,15.06,3.45,0
19.75,48.52,60.69,3.37,0.0,Tomato,Flowering,17.31,4.8,0
23.45,66.4,59.47,2.83,0.05,Wheat,Fruiting,17.06,4.2,0
16.76,77.88,54.36,2.0,10.87,Soybean,Flowering,12.61,2.11,0
37.74,70.59,37.66,0.01,0.0,Soybean,Fruiting,12.34,3.82,0
21.04,73.99,77.23,1.45,0.0,Tomato,Flowering,13.39,2.73,0
30.82,62.58,21.69,0.0,0.0,Rice,Flowering,21.23,6.49,2
26.47,45.96,76.21,0.0,0.14,Tomato,Flowering,12.77,4.27,0
18.11,47.86,45.51,2.1,0.0,Corn,Fruiting,16.83,4.49,0
24.96,64.8,24.7,0.0,0.0,Soybean,Fruiting,14.38,3.75,2
30.49,74.14,39.17,1.56,0.0,Wheat,Vegetative,12.28,3.1,0
23.68,100.0,41.17,0.0,0.0,Wheat,Flowering,19.09,0.5,0
33.35,74.73,37.26,0.0,0.0,Soybean,Seedling,12.0,3.17,1
32.15,42.44,31.03,0.0,1.35,Wheat,Seedling,16.19,6.31,1
31.43,48.49,31.81,0.0,11.34,Rice,Vegetative,18.22,6.62,2
21.78,94.18,52.29,0.0,0.0,Tomato,Fruiting,17.18,1.69,0
17.44,56.78,51.84,0.0,0.0,Tomato,Flowering,16.63,3.96,0
20.7,60.71,67.57,0.0,0.0,Corn,Flowering,15.28,3.79,0
26.37,45.59,41.53,0.0,0.0,Corn,Fruiting,15.59,5.22,2
28.82,83.48,59.31,0.7,0.0,Wheat,Vegetative,14.89,2.9,0
9.8,67.5,59.25,0.0,0.0,Wheat,Seedling,12.46,2.02,0
24.94,48.38,58.52,0.0,0.0,Soybean,Seedling,12.01,3.79,0
26.11,45.09,47.4,0.0,0.26,Corn,Fruiting,14.93,5.0,0
23.06,64.61,38.96,0.0,0.0,Corn,Vegetative,15.83,3.96,0
34.04,60.66,27.25,0.0,0.0,Rice,Flowering,16.29,5.45,2
27.95,72.48,55.22,0.0,0.55,Tomato,Fruiting,17.94,4.43,1
34.17,68.2,72.52,0.0,0.0,Wheat,Fruiting,9.31,2.81,0
23.49,56.03,45.38,0.0,0.0,Soybean,Flowering,16.78,4.73,0
31.56,51.84,31.07,0.0,0.0,Corn,Seedling,16.58,5.84,1
36.45,57.6,38.67,0.0,8.78,Soybean,Fruiting,16.64,6.05,0
34.18,51.74,32.53,0.0,0.0,Corn,Fruiting,17.13,6.36,1
17.36,58.05,40.09,0.33,0.0,Rice,Fruiting,11.29,2.64,2
23.22,60.25,22.07,0.74,0.0,Corn,Vegetative,16.07,4.28,2
22.58,46.53,43.63,0.21,0.0,Wheat,Seedling,16.17,4.91,0
28.42,69.46,54.9,0.0,0.0,Wheat,Fruiting,6.54,1.72,0
29.8,54.44,24.85,0.0,3.72,Rice,Vegetative,22.07,7.29,2
19.13,47.37,32.84,0.0,0.0,Tomato,Flowering,10.57,2.91,2
25.47,54.73,29.75,0.0,3.2,Soybean,Flowering,16.15,4.84,1
10.86,63.63,30.06,0.0,0.0,Rice,Vegetative,4.44,0.79,2
35.09,61.25,26.09,0.0,0.84,Wheat,Seedling,20.41,6.91,1
21.41,66.33,49.1,1.63,0.0,Tomato,Seedling,12.01,2.81,0
25.39,73.48,25.66,2.35,0.0,Rice,Seedling,12.92,2.96,2
22.83,79.57,52.25,0.0,0.0,Rice,Seedling,10.06,1.9,1
33.02,64.28,32.78,0.7,0.0,Wheat,Seedling,12.53,3.91,0
5.14,43.96,38.14,1.35,0.0,Corn,Vegetative,15.63,2.76,0
24.88,55.96,56.79,0.21,0.0,Corn,Seedling,22.78,6.64,0
24.26,44.94,34.55,2.07,0.0,Tomato,Seedling,19.39,6.22,1
21.82,85.45,47.28,0.0,0.0,Rice,Fruiting,19.23,2.99,2
37.08,89.81,75.88,0.0,0.0,Tomato,Flowering,9.02,1.63,0
18.79,69.75,36.66,0.8,1.55,Rice,Flowering,16.14,3.34,2
30.4,72.88,81.19,0.0,0.17,Tomato,Fruiting,12.87,3.32,0
27.49,63.76,42.55,5.87,2.64,Wheat,Fruiting,9.47,2.66,0
33.83,65.49,23.96,0.71,5.64,Rice,Seedling,11.79,3.68,2
20.33,36.04,36.46,0.0,0.0,Corn,Flowering,15.1,4.74,1
19.87,58.89,53.72,0.0,0.0,Wheat,Fruiting,13.13,3.26,0
32.67,46.78,68.61,0.0,3.77,Wheat,Vegetative,16.55,6.27,0
27.98,64.22,65.33,0.0,0.0,Tomato,Vegetative,8.76,2.47,0
14.19,59.11,56.51,0.0,0.0,Rice,Flowering,26.92,5.66,1
21.22,89.2,82.93,0.0,0.0,Corn,Fruiting,16.11,2.12,0
27.7,73.75,13.78,0.0,0.0,Corn,Flowering,12.59,3.02,2
30.86,64.27,52.91,0.07,4.91,Rice,Flowering,13.39,4.01,1
20.25,56.0,57.78,0.0,0.0,Tomato,Flowering,7.8,2.02,0
5.0,85.14,71.47,0.11,0.0,Rice,Fruiting,7.31,0.66,0
28.66,59.55,15.88,1.35,0.0,Soybean,Flowering,14.05,4.27,2
16.46,64.98,34.93,0.0,0.0,Corn,Seedling,16.07,3.35,1
10.88,60.63,53.86,0.0,0.0,Rice,Seedling,8.56,1.58,2
5.17,53.94,81.0,2.0,0.0,Corn,Fruiting,10.51,1.68,0
30.7,60.55,85.57,0.0,0.0,Soybean,Flowering,15.62,4.89,0
25.9,30.57,30.38,0.0,0.0,Soybean,Flowering,9.7,3.63,1
23.42,36.78,19.95,0.0,0.0,Rice,Vegetative,19.5,6.57,2
34.72,65.24,62.5,0.0,0.0,Soybean,Fruiting,16.51,5.26,0
29.46,83.52,97.47,0.0,0.0,Corn,Flowering,12.79,2.52,0
36.31,65.22,67.53,0.0,0.0,Tomato,Flowering,15.73,5.16,0
15.25,49.19,37.74,0.0,0.0,Wheat,Fruiting,10.77,2.61,0
24.76,38.36,90.79,0.0,0.0,Wheat,Fruiting,10.81,3.72,0
13.68,71.77,71.75,0.0,0.0,Wheat,Flowering,22.31,3.84,2
23.39,51.49,33.28,0.0,0.0,Wheat,Vegetative,23.34,6.89,1
23.26,69.65,91.49,0.0,0.0,Rice,Vegetative,12.84,2.99,0
29.39,65.85,31.58,0.0,0.0,Tomato,Fruiting,15.06,4.27,2
25.32,67.17,38.85,0.0,0.0,Soybean,Flowering,12.88,3.27,0
29.36,60.5,62.45,0.0,0.0,Soybean,Vegetative,20.65,6.3,0
29.92,65.75,48.19,0.0,0.0,Rice,Fruiting,24.73,7.1,2
40.08,58.21,42.84,1.94,0.0,Tomato,Fruiting,12.04,4.63,0
22.79,50.47,49.97,0.0,0.23,Tomato,Vegetative,8.8,2.58,0
18.41,45.55,72.69,0.0,0.0,Corn,Seedling,19.53,5.37,0
26.72,24.22,0.0,7.22,0.0,Soybean,Seedling,18.53,7.39,2
19.38,57.28,57.95,0.0,0.0,Tomato,Seedling,21.41,5.35,0
35.37,82.79,43.57,0.28,0.0,Tomato,Vegetative,16.08,3.65,0
23.02,70.95,38.13,0.0,0.0,Soybean,Vegetative,4.69,1.06,0
21.04,63.42,37.56,0.0,0.23,Corn,Flowering,9.06,2.19,1
21.7,48.99,4.45,0.0,0.79,Soybean,Fruiting,24.12,7.0,2
30.03,74.96,34.51,2.46,0.27,Tomato,Flowering,14.71,3.62,2
23.9,58.21,76.0,1.93,3.25,Soybean,Fruiting,10.65,2.95,0
20.51,83.62,73.61,0.76,0.0,Tomato,Vegetative,5.49,0.88,0
36.66,45.28,37.4,9.92,0.0,Tomato,Seedling,17.4,7.21,1
19.01,48.75,22.52,2.13,0.0,Wheat,Flowering,15.32,4.15,1
25.25,47.29,63.77,0.0,0.0,Rice,Vegetative,8.84,2.84,0
29.57,37.77,69.47,1.63,0.0,Wheat,Flowering,10.32,3.97,0
13.58,45.94,73.58,0.0,2.72,Rice,Flowering,11.02,2.61,0
28.36,61.55,29.25,0.0,0.0,Wheat,Seedling,17.25,5.08,1
17.61,49.32,34.26,0.0,0.0,Soybean,Vegetative,23.48,6.09,1
30.76,20.0,72.24,0.0,0.0,Tomato,Fruiting,13.25,5.92,0
18.26,76.11,32.41,0.0,0.0,Rice,Flowering,23.17,4.2,2
29.85,34.74,52.09,0.0,0.0,Wheat,Seedling,14.93,5.91,0
32.74,68.84,12.34,0.0,0.0,Corn,Flowering,10.9,3.16,2
31.03,60.47,41.07,0.0,0.77,Rice,Seedling,21.92,6.92,1
26.76,91.76,67.18,0.0,0.0,Corn,Vegetative,17.38,2.29,0
23.38,74.95,53.2,0.0,0.0,Tomato,Flowering,21.72,4.6,0
20.97,52.43,60.98,0.0,0.76,Tomato,Seedling,16.88,4.64,0
35.3,49.47,18.22,0.0,0.0,Tomato,Seedling,27.13,10.53,2
20.1,82.54,40.56,1.31,9.43,Tomato,Vegetative,16.37,2.67,2
17.74,37.86,58.84,0.0,0.0,Corn,Fruiting,17.57,5.06,0
29.66,62.86,62.18,0.0,0.0,Wheat,Flowering,11.4,3.39,0
19.43,58.03,56.79,0.32,0.0,Corn,Flowering,19.78,4.91,0
18.35,54.85,71.24,0.48,0.0,Rice,Flowering,14.33,3.58,1
14.89,65.3,22.97,0.0,0.0,Tomato,Fruiting,18.51,3.67,2
21.62,62.84,42.93,0.0,1.89,Corn,Flowering,22.23,5.49,0
24.42,66.86,88.12,1.55,0.0,Corn,Fruiting,15.31,3.83,2
26.7,62.08,75.24,0.0,0.0,Corn,Fruiting,18.48,5.21,0
31.66,66.27,60.6,0.0,0.8,Tomato,Vegetative,22.06,6.52,2
28.69,61.4,45.33,0.0,0.0,Tomato,Vegetative,10.06,2.99,1
23.66,50.11,69.39,0.3,8.41,Rice,Seedling,15.72,4.73,0
23.61,60.06,59.29,0.0,0.0,Soybean,Flowering,6.87,1.85,0
28.57,49.28,15.72,0.0,0.0,Rice,Flowering,14.29,4.85,2
33.91,48.29,63.12,0.0,0.0,Wheat,Fruiting,19.7,7.53,0
25.88,54.96,31.23,0.0,0.0,Tomato,Fruiting,5.82,1.76,2
21.72,58.21,66.48,0.0,0.0,Corn,Flowering,10.74,2.82,0
18.05,60.53,21.26,0.0,2.33,Soybean,Vegetative,8.7,2.01,2
14.88,73.75,89.79,0.0,2.37,Tomato,Vegetative,19.23,3.31,0
29.66,52.52,40.67,0.0,1.51,Corn,Seedling,17.5,5.89,1
29.05,62.95,26.38,1.62,0.0,Wheat,Seedling,20.83,6.11,1
29.04,61.77,34.56,0.0,0.0,Tomato,Flowering,19.77,5.89,1
24.1,50.87,41.89,0.0,0.0,Soybean,Vegetative,12.32,3.72,1
34.85,61.11,45.18,0.0,0.0,Tomato,Flowering,14.26,4.82,0
21.61,75.04,81.07,0.0,0.0,Soybean,Fruiting,13.11,2.66,0
31.69,62.8,48.62,0.0,2.46,Soybean,Fruiting,22.23,6.9,0
24.73,63.4,7.4,0.0,0.0,Soybean,Fruiting,17.69,4.68,2
20.74,49.42,25.42,0.0,1.13,Rice,Fruiting,19.87,5.6,2
29.15,89.53,98.83,0.62,0.0,Wheat,Flowering,18.67,2.92,0
27.87,50.27,49.33,0.0,0.0,Tomato,Fruiting,12.53,4.15,1
27.5,34.98,62.76,4.9,0.0,Tomato,Flowering,10.45,3.93,0
25.57,72.9,46.13,0.0,0.0,Soybean,Seedling,17.49,4.06,0
24.73,58.28,29.7,0.0,0.0,Corn,Vegetative,22.37,6.32,1
41.72,55.45,31.11,0.43,1.74,Soybean,Vegetative,16.66,6.81,0
33.29,51.82,46.78,0.54,0.0,Tomato,Seedling,9.07,3.31,1
30.06,88.08,43.88,0.0,0.0,Tomato,Fruiting,17.83,3.03,0
25.78,65.32,89.04,0.0,5.2,Tomato,Vegetative,12.4,3.27,0
32.05,68.25,35.8,0.0,0.0,Soybean,Vegetative,6.24,1.8,0
28.63,62.44,27.58,0.0,0.42,Soybean,Flowering,23.07,6.75,1
25.18,64.05,66.89,0.0,0.0,Rice,Seedling,10.88,2.89,0
22.88,80.98,73.9,0.0,0.0,Tomato,Seedling,21.45,3.91,0
24.43,56.24,50.13,0.0,2.92,Tomato,Seedling,21.89,6.29,1
5.0,38.15,43.59,0.0,0.0,Tomato,Flowering,17.04,3.14,0
26.47,73.02,13.85,0.52,9.58,Soybean,Vegetative,10.74,2.54,2
21.58,67.45,77.61,0.0,0.0,Tomato,Flowering,20.89,4.83,0
36.15,61.62,62.12,0.0,0.0,Soybean,Seedling,10.96,3.77,0
25.14,67.06,42.55,0.0,0.0,Wheat,Flowering,14.77,3.74,0
16.68,54.44,54.24,0.9,1.67,Rice,Vegetative,13.79,3.3,0
24.65,60.31,45.7,0.0,0.0,Wheat,Flowering,13.08,3.6,0
17.68,58.02,85.84,0.22,0.0,Corn,Flowering,16.22,3.83,2
28.31,51.13,25.81,0.0,1.03,Wheat,Vegetative,6.59,2.19,0
27.04,77.84,40.15,0.0,5.26,Rice,Flowering,11.59,2.52,2
31.7,38.82,28.08,0.0,0.47,Corn,Seedling,10.48,4.18,1
19.46,95.41,66.05,0.0,0.0,Tomato,Seedling,17.74,1.46,0
25.24,73.16,53.64,3.16,0.0,Tomato,Fruiting,18.53,4.25,2
15.44,33.33,53.45,0.0,0.0,Tomato,Flowering,14.0,3.91,0
29.91,56.64,29.26,0.0,2.24,Rice,Fruiting,18.09,5.84,2
28.63,57.47,77.38,3.38,0.0,Corn,Vegetative,14.67,4.57,0
28.47,65.88,40.36,1.16,0.0,Corn,Flowering,13.55,3.77,0
25.01,45.16,70.78,0.0,0.0,Corn,Fruiting,16.62,5.42,0
27.9,60.48,93.64,0.0,0.0,Tomato,Flowering,16.07,4.75,0
36.23,58.18,26.55,0.78,0.0,Soybean,Fruiting,9.7,3.49,2
23.0,48.94,55.63,0.52,0.0,Wheat,Vegetative,19.68,5.9,0
25.97,46.85,44.25,0.0,0.0,Soybean,Fruiting,7.84,2.57,1
17.4,73.78,97.18,0.0,4.49,Soybean,Fruiting,8.45,1.57,0
18.92,34.55,42.34,0.0,0.0,Rice,Flowering,9.87,3.02,1
25.68,67.17,56.07,0.0,0.0,Wheat,Fruiting,14.89,3.82,0
32.73,71.96,53.07,0.0,6.01,Soybean,Vegetative,22.83,6.28,0
23.21,56.72,48.23,5.55,0.0,Soybean,Fruiting,21.44,5.95,0
23.35,60.79,66.09,1.63,0.0,Tomato,Seedling,10.43,2.76,0
22.15,77.45,56.78,0.0,0.54,Soybean,Seedling,14.47,2.82,0
21.26,49.43,59.39,0.0,0.85,Soybean,Vegetative,8.81,2.52,0
27.06,50.98,51.43,0.0,0.0,Rice,Seedling,11.53,3.73,2
14.52,52.57,41.66,0.0,0.21,Tomato,Seedling,24.65,5.64,2
33.97,77.48,43.63,0.0,0.0,Tomato,Flowering,13.98,3.53,1
20.34,79.38,67.31,0.0,2.86,Soybean,Fruiting,20.9,3.72,0
30.05,39.06,54.31,0.0,0.0,Wheat,Seedling,19.06,7.32,0
16.11,75.09,82.36,0.0,0.0,Corn,Flowering,11.6,2.02,0
29.68,72.28,87.3,1.7,0.0,Wheat,Flowering,10.71,2.75,2
29.7,83.3,41.89,1.47,0.0,Wheat,Flowering,14.79,2.95,0
27.69,65.78,52.51,0.61,0.0,Wheat,Flowering,14.31,3.92,0
18.04,59.34,49.48,0.06,0.0,Soybean,Seedling,19.45,4.57,0
26.75,77.18,30.42,0.32,2.04,Tomato,Vegetative,13.62,2.98,2
16.72,70.48,67.53,6.88,0.0,Rice,Vegetative,19.42,3.75,0
23.23,93.67,73.18,0.0,0.0,Tomato,Fruiting,11.66,1.24,0
32.21,74.38,27.73,0.0,0.0,Soybean,Seedling,15.14,3.94,2
30.58,62.3,40.18,0.0,0.0,Tomato,Flowering,10.03,3.07,1
25.11,42.39,36.98,1.25,0.0,Soybean,Seedling,6.49,2.17,0
18.18,51.29,21.5,0.0,0.0,Wheat,Vegetative,10.43,2.69,1
29.52,38.46,42.71,0.0,5.65,Corn,Flowering,17.52,6.69,0
25.14,56.77,26.38,0.0,0.2,Tomato,Seedling,21.83,6.34,2
8.76,73.89,64.08,0.0,0.0,Corn,Seedling,14.29,1.99,0
30.48,59.94,52.63,0.04,0.0,Corn,Flowering,17.3,5.44,0
24.83,75.33,61.01,0.0,0.0,Corn,Fruiting,13.36,2.91,0
33.42,65.06,55.63,0.0,0.0,Soybean,Vegetative,12.64,3.94,0
17.33,53.95,83.24,1.82,0.0,Rice,Fruiting,20.55,5.04,0
5.0,61.31,44.09,0.0,0.0,Tomato,Vegetative,21.5,3.14,0
26.95,67.08,35.27,2.1,0.0,Wheat,Fruiting,22.06,5.83,1
27.04,62.09,62.5,0.0,0.0,Corn,Flowering,19.2,5.45,0
13.17,62.26,53.73,6.34,0.0,Soybean,Vegetative,13.42,2.63,0
18.15,48.46,73.62,2.75,0.0,Rice,Fruiting,12.06,3.2,0
44.29,53.51,50.29,0.0,0.0,Rice,Vegetative,6.69,2.91,2
22.86,93.88,96.21,0.0,1.42,Corn,Vegetative,24.67,2.55,0
30.12,78.43,49.3,2.85,0.0,Soybean,Fruiting,7.56,1.73,0
20.45,37.89,18.21,0.0,0.0,Tomato,Flowering,15.19,4.71,2
10.37,24.5,57.03,0.13,0.0,Rice,Seedling,7.0,1.76,2
23.81,61.14,49.39,3.92,0.85,Rice,Seedling,20.35,5.43,1
23.14,73.4,64.3,0.09,0.0,Corn,Flowering,16.92,3.67,0
22.2,52.2,63.09,0.0,0.0,Soybean,Fruiting,21.59,6.14,0
24.2,75.32,42.78,0.0,2.66,Soybean,Flowering,16.06,3.45,0
26.85,60.89,29.07,0.0,0.0,Soybean,Vegetative,18.5,5.31,1
23.95,57.55,47.12,3.76,3.37,Soybean,Fruiting,16.76,4.69,1
16.15,71.34,11.69,0.0,0.0,Corn,Seedling,21.35,3.99,2
28.4,52.02,48.32,0.0,0.0,Corn,Vegetative,16.76,5.52,0
11.35,55.7,47.81,0.0,9.3,Rice,Vegetative,19.95,3.98,1
10.65,70.05,76.42,1.71,0.0,Rice,Vegetative,25.1,4.02,1
30.17,59.53,7.6,0.0,0.0,Tomato,Flowering,10.98,3.45,2
28.55,88.63,54.08,0.0,0.0,Wheat,Vegetative,11.33,1.82,0
24.6,70.41,83.81,0.15,0.0,Rice,Flowering,21.22,5.04,0
15.23,69.43,70.28,0.45,0.0,Corn,Vegetative,16.24,3.05,0
20.04,59.26,71.94,0.0,0.0,Tomato,Vegetative,16.36,4.07,0
23.16,73.12,60.34,0.0,0.0,Rice,Seedling,18.3,4.0,0
13.83,55.16,21.39,2.35,3.34,Tomato,Fruiting,16.2,3.53,2
19.83,64.24,56.76,0.16,0.0,Corn,Fruiting,7.06,1.63,0
29.57,46.26,53.14,2.87,4.01,Soybean,Fruiting,16.29,5.82,0
34.99,75.59,26.56,0.0,0.0,Tomato,Vegetative,9.53,2.56,2
22.06,64.36,49.81,1.05,0.0,Soybean,Fruiting,17.71,4.34,0
30.3,89.74,8.3,0.0,2.76,Wheat,Seedling,17.34,2.75,2
11.6,95.88,57.19,0.0,0.0,Rice,Seedling,16.62,1.02,0
29.62,71.45,41.25,0.0,0.0,Corn,Seedling,14.39,3.75,0
19.37,61.03,81.06,0.0,0.0,Tomato,Fruiting,25.49,6.08,0
27.15,45.81,34.02,0.0,0.0,Soybean,Fruiting,26.23,8.93,1
23.27,73.57,48.25,0.0,0.98,Corn,Fruiting,6.05,1.31,0
34.24,63.15,44.42,0.0,0.0,Tomato,Fruiting,12.63,4.1,0
18.88,68.07,42.87,2.16,0.0,Soybean,Fruiting,23.61,5.03,0
29.39,85.95,67.39,0.0,0.0,Wheat,Vegetative,20.06,3.65,0
23.04,47.63,8.66,5.03,0.0,Soybean,Vegetative,13.67,4.15,2
23.89,46.14,70.51,0.0,2.48,Wheat,Flowering,21.07,6.63,0
23.71,56.45,49.7,0.0,0.74,Soybean,Seedling,11.12,3.13,0
19.08,72.32,81.46,0.0,0.0,Soybean,Fruiting,11.47,2.29,0
24.9,68.32,6.71,0.0,0.0,Rice,Seedling,15.07,3.73,2
24.56,46.56,2.53,0.0,0.0,Corn,Seedling,17.49,5.57,2
26.69,71.35,45.59,0.0,0.57,Wheat,Seedling,17.24,4.22,0
25.59,41.98,56.22,2.15,0.97,Corn,Fruiting,16.37,5.56,0
30.59,47.43,33.6,0.0,0.0,Rice,Fruiting,15.8,5.7,2
31.46,58.27,58.1,0.0,0.0,Soybean,Fruiting,14.14,4.63,0
17.65,51.7,71.64,1.16,0.0,Wheat,Flowering,13.04,3.3,0
31.08,73.35,62.95,0.0,1.42,Rice,Flowering,15.02,3.9,0
16.7,64.3,57.08,0.0,0.0,Rice,Flowering,16.66,3.53,1
29.11,86.48,55.15,0.0,0.0,Wheat,Flowering,11.01,1.95,1
29.34,56.29,34.79,0.0,0.0,Soybean,Fruiting,8.18,2.62,0
11.62,58.17,55.22,0.03,0.0,Wheat,Vegetative,15.45,3.02,0
25.65,78.16,32.82,0.0,1.03,Tomato,Seedling,15.89,3.32,1
21.72,58.64,35.67,2.62,1.54,Rice,Fruiting,13.26,3.47,2
19.69,82.41,67.42,0.01,1.04,Tomato,Seedling,12.33,1.99,0
34.46,68.11,37.64,0.0,0.0,Corn,Vegetative,15.85,4.81,0
20.42,24.71,30.48,0.0,0.0,Rice,Vegetative,14.76,5.04,2
19.36,77.66,65.34,0.0,0.0,Soybean,Seedling,14.67,2.65,0
25.53,73.69,60.07,0.0,0.0,Rice,Seedling,24.83,5.68,1
29.8,74.27,46.15,0.0,0.0,Tomato,Fruiting,5.85,1.45,0
24.01,31.34,41.78,1.05,0.0,Soybean,Fruiting,8.6,3.06,0
33.16,50.06,52.25,0.0,0.22,Rice,Vegetative,14.16,5.25,0
28.72,51.17,65.75,0.0,0.0,Wheat,Flowering,18.54,6.2,0
9.75,47.38,59.12,0.0,0.0,Corn,Fruiting,11.51,2.37,0
21.29,86.13,33.24,0.0,0.69,Tomato,Flowering,9.07,1.36,2
21.07,59.82,47.5,0.0,0.0,Rice,Flowering,14.12,3.58,2
28.36,59.45,40.07,0.0,3.16,Tomato,Fruiting,14.1,4.26,1
6.63,68.28,39.78,0.0,0.0,Corn,Flowering,6.42,0.91,1
42.84,68.54,52.75,0.41,0.0,Tomato,Seedling,17.11,5.99,1
28.72,20.0,51.64,0.0,0.0,Wheat,Vegetative,14.23,6.09,0
26.04,50.3,62.06,0.0,0.0,Corn,Vegetative,17.55,5.58,0
33.27,38.81,21.81,0.0,0.05,Wheat,Fruiting,17.24,7.09,1
41.41,66.0,46.15,0.73,0.0,Soybean,Vegetative,3.76,1.34,0
31.1,55.67,45.96,0.0,4.48,Wheat,Vegetative,14.82,4.96,0
31.64,60.23,52.87,0.0,0.0,Tomato,Seedling,14.45,4.63,0
25.91,28.82,45.9,1.34,5.4,Tomato,Flowering,12.68,4.81,1
24.01,55.35,49.31,0.43,0.0,Corn,Vegetative,16.4,4.71,0
21.67,76.73,52.36,4.35,0.0,Soybean,Seedling,13.31,2.61,0
19.22,81.14,79.26,0.0,0.0,Wheat,Flowering,11.47,1.9,0
20.19,70.78,37.32,0.0,0.0,Tomato,Seedling,13.77,2.91,1
15.55,39.97,47.26,0.0,1.02,Tomato,Vegetative,10.87,2.89,2
24.47,78.89,75.67,0.71,0.27,Rice,Seedling,15.48,3.09,0
13.21,70.86,41.85,2.05,0.73,Rice,Fruiting,12.21,2.1,2
26.34,58.24,33.78,0.34,1.22,Corn,Seedling,13.46,3.95,1
24.75,29.62,58.73,0.0,1.04,Corn,Fruiting,7.56,2.77,0
26.03,74.3,23.87,0.0,0.0,Rice,Seedling,9.33,2.13,2
21.35,51.12,63.26,0.0,1.67,Tomato,Flowering,16.82,4.73,0
45.0,65.19,31.25,0.0,0.0,Soybean,Flowering,21.3,8.12,1
34.52,61.03,53.64,3.07,1.26,Soybean,Seedling,15.01,5.04,0
16.29,83.08,34.56,3.92,0.0,Corn,Fruiting,23.36,3.37,2
26.63,58.12,72.51,0.0,0.0,Corn,Fruiting,17.82,5.27,0
20.74,59.77,27.74,0.7,0.0,Rice,Vegetative,13.75,3.46,2
17.9,83.68,72.79,0.0,0.0,Rice,Vegetative,22.63,3.36,0
15.62,50.13,29.21,0.0,0.0,Soybean,Seedling,11.0,2.67,0
28.03,72.21,87.1,0.0,0.0,Wheat,Flowering,16.82,4.18,0
20.23,57.02,50.36,0.97,0.45,Tomato,Flowering,16.01,4.11,1
31.77,44.96,82.62,1.55,0.0,Wheat,Vegetative,3.02,1.14,0
31.96,60.02,30.15,0.0,0.0,Tomato,Fruiting,13.61,4.41,2
34.62,70.38,38.41,1.75,2.88,Soybean,Vegetative,23.69,6.95,1
19.03,80.31,81.26,0.0,0.82,Wheat,Vegetative,12.58,2.11,0
28.33,82.12,24.24,0.19,0.0,Corn,Seedling,12.42,2.49,1
29.43,55.58,32.92,0.2,0.0,Corn,Vegetative,17.69,5.73,1
21.68,45.19,58.6,0.0,0.0,Soybean,Seedling,3.81,1.14,0
19.6,55.22,31.37,0.0,0.0,Soybean,Flowering,18.9,4.87,1
36.27,42.28,51.26,2.9,0.0,Wheat,Vegetative,13.01,5.5,0
26.59,56.74,51.96,0.0,0.52,Corn,Vegetative,9.74,2.92,0
29.45,54.88,16.48,2.23,0.0,Corn,Flowering,19.51,6.37,2
19.25,70.91,74.42,0.27,0.0,Wheat,Vegetative,17.15,3.52,0
